route_pattern_id,route_id,direction_id,route_pattern_name,route_pattern_time_desc,route_pattern_typicality,route_pattern_sort_order,representative_trip_id,canonical_route_pattern
Red-3-0,Red,0,Alewife - Braintree,,1,100100040,canonical-Red-C1-0,1
Red-1-0,Red,0,Alewife - Ashmont,,1,100100041,canonical-Red-C2-0,1
Red-0-0,Red,0,Quincy Center - Braintree,,3,100100080,76529885,2
Red-A-0,Red,0,JFK/UMass - Ashmont,,3,100100090,76021259,2
Red-R-0,Red,0,Alewife - Broadway,,3,100100100,76020820,2
Red-3-1,Red,1,Braintree - Alewife,,1,100101000,canonical-Red-C1-1,1
Red-1-1,Red,1,Ashmont - Alewife,,1,100101001,canonical-Red-C2-1,1
Red-0-1,Red,1,Braintree - Quincy Center,,3,100101080,75999695,2
Red-A-1,Red,1,Ashmont - JFK/UMass,,3,100101090,76021142,2
Red-R-1,Red,1,Broadway - Alewife,,3,100101100,76522949,2
Mattapan-_-0,Mattapan,0,Ashmont - Mattapan,,1,100110000,canonical-Mattapan-C1-0,1
Mattapan-_-1,Mattapan,1,Mattapan - Ashmont,,1,100111000,canonical-Mattapan-C1-1,1
Orange-3-0,Orange,0,Oak Grove - Forest Hills,,1,100200000,canonical-Orange-C1-0,1
Orange-3-1,Orange,1,Forest Hills - Oak Grove,,1,100201000,canonical-Orange-C1-1,1
Green-B-812-0,Green-B,0,Government Center - Boston College,,1,100320000,canonical-Green-B-C1-0,1
Green-B-816-0,Green-B,0,Medford/Tufts - Boston College,Mornings only,3,100320040,75303291,2
Green-B-812-1,Green-B,1,Boston College - Government Center,,1,100321000,canonical-Green-B-C1-1,1
Green-B-816-1,Green-B,1,Boston College - Medford/Tufts,Early mornings only,3,100321040,75303290,2
Green-C-832-0,Green-C,0,Government Center - Cleveland Circle,,1,100330000,canonical-Green-C-C1-0,1
Green-C-836-0,Green-C,0,Medford/Tufts - Cleveland Circle,Mornings only,3,100330040,75333125,2
Green-C-0-0,Green-C,0,Saint Mary's Street - Cleveland Circle,Weekends only,3,100330070,76252351,2
Green-C-832-1,Green-C,1,Cleveland Circle - Government Center,,1,100331000,canonical-Green-C-C1-1,1
Green-C-836-1,Green-C,1,Cleveland Circle - Medford/Tufts,Early mornings only,3,100331040,75333258,2
Green-C-0-1,Green-C,1,Cleveland Circle - Saint Mary's Street,Weekends only,3,100331070,76252207,2
Green-D-855-0,Green-D,0,Union Square - Riverside,,1,100340000,canonical-Green-D-C1-0,1
Green-D-845-0,Green-D,0,Union Square - Reservoir,Weekday late nights only,3,100340040,75333700,2
Green-D-825-0,Green-D,0,Union Square - Government Center,Weekends only,3,100340050,76253026,2
Green-D-85-0,Green-D,0,Brookline Hills - Riverside,Weekends only,3,100340060,76252883,2
Green-D-855-1,Green-D,1,Riverside - Union Square,,1,100341000,canonical-Green-D-C1-1,1
Green-D-845-1,Green-D,1,Reservoir - Union Square,Weekday early mornings only,3,100341040,75333292,2
Green-D-825-1,Green-D,1,Government Center - Union Square,Weekends only,3,100341050,76255323,2
